,回家,工作,上学,购物,社交娱乐,就医,接送他人,其它
Worker,29.463,23.804,0.0,15.115,8.201,1.938,3.59,5.421
Student,25.824,1.681,20.873,6.521,5.586,0.438,2.984,2.815
NonWorker,36.434,0.0,0.0,27.511,13.459,4.5,4.088,7.917
