,回家,工作,上学,购物,社交娱乐,就医,接送他人,其它
Worker,1.388,1.03,0.0,0.907,0.353,0.068,0.214,0.229
Worker,1.356,0.116,0.963,0.414,0.294,0.025,0.225,0.208
Worker,1.482,0.0,0.0,1.412,0.582,0.136,0.229,0.344
